GPS1.UTCGregorian         Receiver.EarthFixedCS.X   Receiver.EarthFixedCS.Y   Receiver.EarthFixedCS.Z   
01 Jan 2026 11:16:00.000   -673.7423286777627        -5487.190927942031        3170.456503928509         
01 Jan 2026 11:17:00.000   -673.742328979245         -5487.190928845067        3170.456502301534         
01 Jan 2026 11:18:00.000   -673.7423286777622        -5487.190927942032        3170.456503928509         
01 Jan 2026 11:19:00.000   -673.7423289866847        -5487.190928842639        3170.456502304158         
01 Jan 2026 11:20:00.000   -673.7423286777621        -5487.190927942033        3170.456503928509         
01 Jan 2026 11:21:00.000   -673.7423289941064        -5487.190928840147        3170.456502306892         
01 Jan 2026 11:22:00.000   -673.742328677762         -5487.190927942032        3170.456503928509         
01 Jan 2026 11:23:00.000   -673.7423290015038        -5487.190928837598        3170.456502309736         
01 Jan 2026 11:24:00.000   -673.7423286777621        -5487.190927942032        3170.456503928509         
01 Jan 2026 11:25:00.000   -673.7423290088819        -5487.190928834983        3170.456502312691         
01 Jan 2026 11:26:00.000   -673.7423286777622        -5487.190927942032        3170.45650392851          
01 Jan 2026 11:27:00.000   -673.7423290162449        -5487.190928832308        3170.456502315756         
01 Jan 2026 11:28:00.000   -673.7423286777622        -5487.190927942032        3170.45650392851          
01 Jan 2026 11:29:00.000   -673.7423290235779        -5487.190928829572        3170.456502318928         
01 Jan 2026 11:30:00.000   -673.742328677762         -5487.190927942033        3170.456503928509         
01 Jan 2026 11:31:00.000   -673.7423290308953        -5487.19092882678         3170.456502322212         
01 Jan 2026 11:32:00.000   -673.7423286777624        -5487.190927942033        3170.45650392851          
01 Jan 2026 11:33:00.000   -673.7423290381904        -5487.190928823925        3170.456502325605         
01 Jan 2026 11:34:00.000   -673.7423286777619        -5487.19092794203         3170.456503928509         
01 Jan 2026 11:35:00.000   -673.7423290454541        -5487.190928821006        3170.456502329107         
01 Jan 2026 11:36:00.000   -673.7423286777625        -5487.190927942033        3170.45650392851          
01 Jan 2026 11:37:00.000   -673.7423290527011        -5487.19092881803         3170.456502332717         
01 Jan 2026 11:38:00.000   -673.7423286777623        -5487.190927942032        3170.456503928509         
01 Jan 2026 11:39:00.000   -673.7423290599246        -5487.190928814995        3170.456502336437         
01 Jan 2026 11:40:00.000   -673.7423286777623        -5487.19092794203         3170.456503928509         
01 Jan 2026 11:41:00.000   -673.74232906712          -5487.190928811898        3170.456502340263         
01 Jan 2026 11:42:00.000   -673.7423286777627        -5487.190927942032        3170.456503928509         
01 Jan 2026 11:43:00.000   -673.7423290742922        -5487.190928808746        3170.456502344201         
01 Jan 2026 11:44:00.000   -673.7423286777627        -5487.190927942035        3170.45650392851          
01 Jan 2026 11:45:00.000   -673.742329081439         -5487.190928805532        3170.456502348244         
01 Jan 2026 11:46:00.000   -673.7423286777623        -5487.190927942031        3170.45650392851          
01 Jan 2026 11:47:00.000   -673.7423290885567        -5487.190928802261        3170.456502352396         
01 Jan 2026 11:48:00.000   -673.7423286777621        -5487.190927942031        3170.456503928509         
01 Jan 2026 11:49:00.000   -673.742329095654         -5487.190928798928        3170.456502356654         
01 Jan 2026 11:50:00.000   -673.742328677762         -5487.190927942031        3170.456503928511         
01 Jan 2026 11:51:00.000   -673.7423291027156        -5487.190928795539        3170.456502361021         
01 Jan 2026 11:52:00.000   -673.742328677762         -5487.190927942031        3170.45650392851          
01 Jan 2026 11:53:00.000   -673.7423291097596        -5487.190928792087        3170.456502365493         
01 Jan 2026 11:54:00.000   -673.7423286777627        -5487.190927942032        3170.456503928509         
01 Jan 2026 11:55:00.000   -673.742329116769         -5487.190928788583        3170.456502370072         
01 Jan 2026 11:56:00.000   -673.7423286777625        -5487.190927942032        3170.45650392851          
01 Jan 2026 11:57:00.000   -673.7423291237494        -5487.190928785016        3170.456502374759         
01 Jan 2026 11:58:00.000   -673.742328677762         -5487.190927942032        3170.456503928509         
01 Jan 2026 11:59:00.000   -673.742329130708         -5487.190928781393        3170.456502379549         
01 Jan 2026 12:00:00.000   -673.7423286777621        -5487.190927942032        3170.45650392851          
01 Jan 2026 12:01:00.000   -673.7423291376288        -5487.190928777715        3170.456502384447         
01 Jan 2026 12:02:00.000   -673.7423286777622        -5487.190927942032        3170.45650392851          
01 Jan 2026 12:03:00.000   -673.7423291445203        -5487.190928773978        3170.456502389449         
01 Jan 2026 12:04:00.000   -673.7423286777625        -5487.190927942031        3170.45650392851          
01 Jan 2026 12:05:00.000   -673.7423291513876        -5487.190928770183        3170.456502394558         
01 Jan 2026 12:06:00.000   -673.742328677763         -5487.190927942033        3170.456503928509         
01 Jan 2026 12:07:00.000   -673.7423291582206        -5487.190928766334        3170.45650239977          
01 Jan 2026 12:08:00.000   -673.7423286777622        -5487.190927942033        3170.456503928509         
